form_no,set_code,rule,require_map,error_type,note,rule_translation,error_msg_th,error_msg_en,check,cannot_feed
F3,470100,${409999} == ${470100} + ${470200},Y,E,All from except unit trust,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องเท่ากับ การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่ บวก การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ส่วนได้เสียที่ไม่มีอำนาจควบคุม,${409999} ต้องเท่ากับ ${470100} บวก ${470200},${409999} must be equal to ${470100} plus ${470200}.,P,
F3,460100,${409996} == ${460100} + ${460200},Y,E,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด ต้องเท่ากับ การแบ่งปันกำไร (ขาดทุน) สุทธิ : ผู้ถือหุ้นบริษัทใหญ่ บวก การแบ่งปันกำไร (ขาดทุน) สุทธิ : ส่วนได้เสียที่ไม่มีอำนาจควบคุม,${409996} ต้องเท่ากับ ${460100} บวก ${460200},${409996} must be equal to ${460100} plus ${460200}.,P,
F3,409999,${409999} != 0,,E,All form,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องมีค่า,${409999} ต้องมีค่า,${409999} must have value.,P,
F3,510200,${510100} == 0 || ${510200} == 0,,E,All Form except unit trust และ insurance,กำไร (ขาดทุน) สุทธิสำหรับงวด / ของบริษัทใหญ่ และ กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ ต้องไม่มีค่าพร้อมกัน ในงบกระแสเงินสด,${510100} และ ${510200} ต้องไม่มีค่าพร้อมกัน (ในงบกระแสเงินสด),${510100} and ${510200} must not have value at the same time (in the statement of cash flows).,P,
F3,510200,${510200} == 0 || ${514900} == 0,,W,All Form except unit trust และ insurance,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ และ ภาษีเงินได้ ไม่ควรมีค่าพร้อมกัน ในงบกระแสเงินสด,${510200} และ ${514900} ไม่ควรมีค่าพร้อมกัน (ในงบกระแสเงินสด),${510200} and ${514900} should not have value at the same time (in the statement of cash flows).,P,
F3,510200,${510200} == 0 || ${514800} == 0,,W,All Form except unit trust และ insurance,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ และ ค่าใช้จ่ายดอกเบี้ย ไม่ควรมีค่าพร้อมกัน ในงบกระแสเงินสด,${510200} และ ${514800} ไม่ควรมีค่าพร้อมกัน (ในงบกระแสเงินสด),${510200} and ${514800} should not have value at the same time (in the statement of cash flows).,P,
F3,,,,W,All Form except unit trust และ insurance,ในงบกระแสเงินสด หากงบใดงบหนึ่ง (งบเฉพาะกิจการ งบส่วนได้เสีย หรือ งบการเงินรวม) เลือกใช้ กำไร (ขาดทุน) สุทธิสำหรับงวด / ของบริษัทใหญ่ และ กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ แล้ว ควรใช้ค่าเดียวกันในทุกๆงบ (งบเฉพาะกิจการ งบส่วนได้เสีย และ งบการเงินรวม),,,P,
F3,599999,${599999} == ${100100},,W,All Form,เงินสดและรายการเทียบเท่าเงินสด สิ้นงวด ในงบกระแสเงินสด ควรมีค่า เท่ากับ เงินสดและรายการเทียบเท่าเงินสด ในงบแสดงฐานะการเงิน,${599999} ควรมีค่า เท่ากับ  ${100100},${599999} should be equal to ${100100}.,P,
F4,109999,${109999} == ${209999} + ${309998},,E,All from except unit trust,รวมสินทรัพย์ ต้องเท่ากับ รวมหนี้สิน บวก รวมส่วนของผู้ถือหุ้น,${109999} ต้องเท่ากับ ${209999} บวก ${309998},${109999} must be equal to ${209999} plus ${309998}.,P,
F4,102600,${102600} != 0 || ${102610} != 0  || ${102620} != 0  || ${102630} != 0,,W,All form,ถ้า เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ มีค่าในงบเฉพาะกิจการ โปรดยืนยันว่าบริษัทใช้วิธีส่วนได้เสียในการวัดมูลค่าเงินลงทุนเหล่านี้ใน'งบเฉพาะกิจการ',ถ้า ${102600} หรือ ${102610} หรือ ${102620} หรือ ${102630} มีค่าในงบเฉพาะกิจการ โปรดยืนยันว่าบริษัทใช้วิธีส่วนได้เสียในการวัดมูลค่าเงินลงทุนเหล่านี้ใน'งบเฉพาะกิจการ',"If ${102600} or ${102610} or ${102620} or ${102630} has value in the separate financial statement, please confirm that the company uses equity method to measure these investments in the 'separate financial statement'.",P,Y
F4,431610,${431610} != 0 || ${431620} != 0,,W,Insurance only,ถ้า กำไร (ขาดทุน) อื่นจากเครื่องมือทางการเงิน หรือ กำไร (ขาดทุน) จากการปรับมูลค่ายุติธรรมของเครื่องมือทางการเงิน มีค่า โปรดยืนยันว่าบริษัทปฏิบัติตามมาตรฐานการรายงานทางการเงินกลุ่มเครื่องมือทางการเงิน,ถ้า ${431610} หรือ ${431620} มีค่า โปรดยืนยันว่าบริษัทปฏิบัติตามมาตรฐานการรายงานทางการเงินกลุ่มเครื่องมือทางการเงิน,"If ${431610} or ${431620} has value, please confirm that the company prepares the financial statements in accordance with financial reporting standards for financial instruments.",P,Y
F4,431630,${431630} != 0 || ${431640} != 0,,W,Insurance only,ถ้า ผลกำไร (ขาดทุน) อื่นจากเงินลงทุน หรือ ผลกำไร (ขาดทุน) จากการปรับมูลค่ายุติธรรม มีค่า โปรดยืนยันว่าบริษัทปฏิบัติตามแนวปฏิบัติทางการบัญชีเกี่ยวกับเครื่องมือทางการเงินและการเปิดเผยข้อมูลสำหรับธุรกิจประกัน,ถ้า ${431630} หรือ ${431640} มีค่า โปรดยืนยันว่าบริษัทปฏิบัติตามแนวปฏิบัติทางการบัญชีเกี่ยวกับเครื่องมือทางการเงินและการเปิดเผยข้อมูลสำหรับธุรกิจประกัน,"If ${431630} or ${431640} has value, please confirm that the company prepares the financial statements in accordance with Thai accounting guidance for financial instruments and disclosure of insurance business.",P,Y
F4,310200,${310200} != 0,Y,E,All from except unit trust,ทุนที่ออกและชำระแล้ว ต้องมีค่า,${310200} ต้องมีค่า,${310200} must have value.,P,
F4,310200,${310200} <= ${310100},Y,W,All from except unit trust,ทุนที่ออกและชำระแล้ว ควรมีค่า เท่ากับ หรือ น้อยกว่า ทุนจดทะเบียน,${310200} ควรมีค่า น้อยกว่าหรือเท่ากับ ${310100},${310200} should be lower than or equal to ${310100}.,P,
F4,310210,${310210} <= ${310110},Y,W,All from except unit trust,หุ้นบุริมสิทธิชำระแล้ว ควรมีค่า เท่ากับ หรือ น้อยกว่า หุ้นบุริมสิทธิจดทะเบียน,${310210} ควรมีค่า น้อยกว่าหรือเท่ากับ ${310110},${310210} should be lower than or equal to ${310110}.,P,
F4,310220,${310220} <= ${310120},Y,W,All from except unit trust,หุ้นสามัญชำระแล้ว ควรมีค่า เท่ากับ หรือ น้อยกว่า หุ้นสามัญจดทะเบียน,${310220} ควรมีค่า น้อยกว่าหรือเท่ากับ ${310120},${310220} should be lower than or equal to ${310120}.,P,
F4,310220,${310220} != 0,Y,E,All from except unit trust,หุ้นสามัญชำระแล้ว ต้องมีค่า,${310220} ต้องมีค่า,${310220} must have value.,P,
F4,310611,${310611} < ${310100},Y,W,All from except unit trust,สำรองตามกฎหมาย ควรมีค่า น้อยกว่า ทุนจดทะเบียน,${310611} ควรมีค่า น้อยกว่า ${310100},${310611} should be lower than ${310100}.,P,
F4,409996,${409996} == ${409991},,E,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด ควรมีค่า เท่ากับกำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,${409996} ควรมีค่า เท่ากับ ${409991},${409996} should be equal to ${409991}. ,P,
F4,480100,${480100} != 0,Y,W,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) ควรมีค่า,${480100} ควรมีค่า,${480100} should have value.,P,
F4,480100,${480100} <= ${c50},,W,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) มีค่าค่อนข้างสูง ควรตรวจสอบ,${480100} มีค่าค่อนข้างสูง ควรตรวจสอบ,The value of ${480100} is relatively high. Please verify.,P,
F4,480100,${480100} >= ${c-50},,W,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) มีค่าค่อนข้างต่ำ ควรตรวจสอบ,${480100} มีค่าค่อนข้างต่ำ ควรตรวจสอบ,The value of ${480100} is relatively low. Please verify.,P,
F4,480100,${409996} >= 0 && ${480100} >= 0 || ${409996} <= 0 && ${480100} <= 0,,W,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด และ กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) ควรมีเครื่องหมายเหมือนกัน,${409996} และ ${480100} ควรมีเครื่องหมายเหมือนกัน,${409996} and ${480100} should have the same sign.,P,
F4,480200,${480200} <= ${480100},,E,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นปรับลด (บาท/หุ้น) มีค่ามากกว่า กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น)  กรณีที่ค่าเป็นบวก,${480200} ต้องมีค่า น้อยกว่าหรือเท่ากับ ${480100},${480200} must be lower than or equal to ${480100}.,P,
F4,470100,${470100} != 0,,W,All from except unit trust,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม - ผู้ถือหุ้นบริษัทใหญ่ ควรมีค่า,${470100} ควรมีค่า,${470100} should have value.,P,
F4,470100,${409999} == ${470100} + ${470200},Y,E,All from except unit trust,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องเท่ากับ การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่ บวก การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ส่วนได้เสียที่ไม่มีอำนาจควบคุม,${409999} ต้องเท่ากับ ${470100} บวก ${470200},${409999} must be equal to ${470100} plus ${470200}.,P,
F4,460100,${409996} == ${460100} + ${460200},Y,E,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด ต้องเท่ากับ การแบ่งปันกำไร (ขาดทุน) สุทธิ : ผู้ถือหุ้นบริษัทใหญ่ บวก การแบ่งปันกำไร (ขาดทุน) สุทธิ : ส่วนได้เสียที่ไม่มีอำนาจควบคุม,${409996} ต้องเท่ากับ ${460100} บวก ${460200},${409996} must be equal to ${460100} plus ${460200}.,P,
F4,409999,${409999} != 0,,E,All form,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องมีค่า,${409999} ต้องมีค่า,${409999} must have value.,P,
F4,599999,${599999} == ${100100},,W,All Form,เงินสดและรายการเทียบเท่าเงินสด สิ้นงวด ในงบกระแสเงินสด ควรมีค่า เท่ากับ เงินสดและรายการเทียบเท่าเงินสด ในงบแสดงฐานะการเงิน,${599999} ควรมีค่า เท่ากับ  ${100100},${599999} should be equal to ${100100}.,P,
F5,102600,${102600} != 0 || ${102610} != 0  || ${102620} != 0  || ${102630} != 0,,W,All form,ถ้า เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ มีค่าในงบเฉพาะกิจการ โปรดยืนยันว่าบริษัทใช้วิธีส่วนได้เสียในการวัดมูลค่าเงินลงทุนเหล่านี้ใน'งบเฉพาะกิจการ',ถ้า ${102600} หรือ ${102610} หรือ ${102620} หรือ ${102630} มีค่าในงบเฉพาะกิจการ โปรดยืนยันว่าบริษัทใช้วิธีส่วนได้เสียในการวัดมูลค่าเงินลงทุนเหล่านี้ใน'งบเฉพาะกิจการ',"If ${102600} or ${102610} or ${102620} or ${102630} has value in the separate financial statement, please confirm that the company uses equity method to measure these investments in the 'separate financial statement'.",P,Y
F5,309998,${299999} == ${309998} ,,W,Unit trust only,สินทรัพย์สุทธิ ต้องเท่ากับ รวมสินทรัพย์สุทธิ,${299999} ต้องเท่ากับ ${309998},${299999} should be equal to ${309998},,
F5,330201,${330201} != 0,Y,W,Unit trust only,จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย) ควรมีค่า,${330201} ควรมีค่า,${330201} should have value.,P,
F5,310200,${310200} != 0,Y,E,Unit trust only,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน ต้องมีค่า,${310200} ต้องมีค่า,${310200} must have value.,P,
F5,330101,${330101} != 0,Y,W,Unit trust only,สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย) ควรมีค่า,${330101} ควรมีค่า,${330101} should have value.,P,
F5,409999,${409999} != 0,,E,All form,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องมีค่า,${409999} ต้องมีค่า,${409999} must have value.,P,
F5,599999,${599999} == ${100100},,W,All Form,เงินสดและรายการเทียบเท่าเงินสด สิ้นงวด ในงบกระแสเงินสด ควรมีค่า เท่ากับ เงินสดและรายการเทียบเท่าเงินสด ในงบแสดงฐานะการเงิน,${599999} ควรมีค่า เท่ากับ  ${100100},${599999} should be equal to ${100100}.,P,
F6,109999,${109999} == ${209999} + ${309998},,E,All from except unit trust,รวมสินทรัพย์ ต้องเท่ากับ รวมหนี้สิน บวก รวมส่วนของผู้ถือหุ้น,${109999} ต้องเท่ากับ ${209999} บวก ${309998},${109999} must be equal to ${209999} plus ${309998}.,P,
F6,122600,${122600} != 0 || ${122610} != 0  || ${122620} != 0  || ${122630} != 0,,W,All form,ถ้า เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ มีค่าในงบเฉพาะกิจการ โปรดยืนยันว่าบริษัทใช้วิธีส่วนได้เสียในการวัดมูลค่าเงินลงทุนเหล่านี้ใน'งบเฉพาะกิจการ',ถ้า ${122600} หรือ ${122610} หรือ ${122620} หรือ ${122630} มีค่าในงบเฉพาะกิจการ โปรดยืนยันว่าบริษัทใช้วิธีส่วนได้เสียในการวัดมูลค่าเงินลงทุนเหล่านี้ใน'งบเฉพาะกิจการ',"If ${122600} or ${122610} or ${122620} or ${122630} has value in the separate financial statement, please confirm that the company uses equity method to measure these investments in the 'separate financial statement'.",P,Y
F6,310200,${310200} != 0,Y,E,All from except unit trust,ทุนที่ออกและชำระแล้ว ต้องมีค่า,${310200} ต้องมีค่า,${310200} must have value.,P,
F6,310200,${310200} <= ${310100},Y,W,All from except unit trust,ทุนที่ออกและชำระแล้ว ควรมีค่า เท่ากับ หรือ น้อยกว่า ทุนจดทะเบียน,${310200} ควรมีค่า น้อยกว่าหรือเท่ากับ ${310100},${310200} should be lower than or equal to ${310100}.,P,
F6,310210,${310210} <= ${310110},Y,W,All from except unit trust,หุ้นบุริมสิทธิชำระแล้ว ควรมีค่า เท่ากับ หรือ น้อยกว่า หุ้นบุริมสิทธิจดทะเบียน,${310210} ควรมีค่า น้อยกว่าหรือเท่ากับ ${310110},${310210} should be lower than or equal to ${310110}.,P,
F6,310220,${310220} <= ${310120},Y,W,All from except unit trust,หุ้นสามัญชำระแล้ว ควรมีค่า เท่ากับ หรือ น้อยกว่า หุ้นสามัญจดทะเบียน,${310220} ควรมีค่า น้อยกว่าหรือเท่ากับ ${310120},${310220} should be lower than or equal to ${310120}.,P,
F6,310220,${310220} != 0,Y,E,All from except unit trust,หุ้นสามัญชำระแล้ว ต้องมีค่า,${310220} ต้องมีค่า,${310220} must have value.,P,
F6,310611,${310611} < ${310100},Y,W,All from except unit trust,สำรองตามกฎหมาย ควรมีค่า น้อยกว่า ทุนจดทะเบียน,${310611} ควรมีค่า น้อยกว่า ${310100},${310611} should be lower than ${310100}.,P,
F6,409996,${409996} == ${409991},,E,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด ควรมีค่า เท่ากับกำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง,${409996} ควรมีค่า เท่ากับ ${409991},${409996} should be equal to ${409991}. ,P,
F6,480100,${480100} != 0,Y,W,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) ควรมีค่า,${480100} ควรมีค่า,${480100} should have value.,P,
F6,480100,${480100} <= ${c50},,W,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) มีค่าค่อนข้างสูง ควรตรวจสอบ,${480100} มีค่าค่อนข้างสูง ควรตรวจสอบ,The value of ${480100} is relatively high. Please verify.,P,
F6,480100,${480100} >= ${c-50},,W,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) มีค่าค่อนข้างต่ำ ควรตรวจสอบ,${480100} มีค่าค่อนข้างต่ำ ควรตรวจสอบ,The value of ${480100} is relatively low. Please verify.,P,
F6,480100,${409996} >= 0 && ${480100} >= 0 || ${409996} <= 0 && ${480100} <= 0,,W,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด และ กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น) ควรมีเครื่องหมายเหมือนกัน,${409996} และ ${480100} ควรมีเครื่องหมายเหมือนกัน,${409996} and ${480100} should have the same sign.,P,
F6,480200,${480200} <= ${480100},,E,All from except unit trust,กำไร (ขาดทุน) ต่อหุ้นปรับลด (บาท/หุ้น) มีค่ามากกว่า กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน (บาท/หุ้น)  กรณีที่ค่าเป็นบวก,${480200} ต้องมีค่า น้อยกว่าหรือเท่ากับ ${480100},${480200} must be lower than or equal to ${480100}.,P,
F6,470100,${470100} != 0,,W,All from except unit trust,การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม - ผู้ถือหุ้นบริษัทใหญ่ ควรมีค่า,${470100} ควรมีค่า,${470100} should have value.,P,
F6,470100,${409999} == ${470100} + ${470200},Y,E,All from except unit trust,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องเท่ากับ การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ผู้ถือหุ้นบริษัทใหญ่ บวก การแบ่งปันกำไร (ขาดทุน) เบ็ดเสร็จรวม : ส่วนได้เสียที่ไม่มีอำนาจควบคุม,${409999} ต้องเท่ากับ ${470100} บวก ${470200},${409999} must be equal to ${470100} plus ${470200}.,P,
F6,460100,${409996} == ${460100} + ${460200},Y,E,All from except unit trust,กำไร (ขาดทุน) สุทธิ สำหรับงวด ต้องเท่ากับ การแบ่งปันกำไร (ขาดทุน) สุทธิ : ผู้ถือหุ้นบริษัทใหญ่ บวก การแบ่งปันกำไร (ขาดทุน) สุทธิ : ส่วนได้เสียที่ไม่มีอำนาจควบคุม,${409996} ต้องเท่ากับ ${460100} บวก ${460200},${409996} must be equal to ${460100} plus ${460200}.,P,
F6,409999,${409999} != 0,,E,All form,กำไร (ขาดทุน) เบ็ดเสร็จรวม สำหรับงวด ต้องมีค่า,${409999} ต้องมีค่า,${409999} must have value.,P,
F6,510200,${510100} == 0 || ${510200} == 0,,E,All Form except unit trust และ insurance,กำไร (ขาดทุน) สุทธิสำหรับงวด / ของบริษัทใหญ่ และ กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ ต้องไม่มีค่าพร้อมกัน ในงบกระแสเงินสด,${510100} และ ${510200} ต้องไม่มีค่าพร้อมกัน (ในงบกระแสเงินสด),${510100} and ${510200} must not have value at the same time (in the statement of cash flows).,P,
F6,510200,${510200} == 0 || ${514900} == 0,,W,All Form except unit trust และ insurance,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ และ ภาษีเงินได้ ไม่ควรมีค่าพร้อมกัน ในงบกระแสเงินสด,${510200} และ ${514900} ไม่ควรมีค่าพร้อมกัน (ในงบกระแสเงินสด),${510200} and ${514900} should not have value at the same time (in the statement of cash flows).,P,
F6,510200,${510200} == 0 || ${514800} == 0,,W,All Form except unit trust และ insurance,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ และ ต้นทุนทางการเงิน ไม่ควรมีค่าพร้อมกัน ในงบกระแสเงินสด,${510200} และ ${514800} ไม่ควรมีค่าพร้อมกัน (ในงบกระแสเงินสด),${510200} and ${514800} should not have value at the same time (in the statement of cash flows).,P,
F6,,,,W,All Form except unit trust และ insurance,ในงบกระแสเงินสด หากงบใดงบหนึ่ง (งบเฉพาะกิจการ งบส่วนได้เสีย หรือ งบการเงินรวม) เลือกใช้ กำไร (ขาดทุน) สุทธิสำหรับงวด / ของบริษัทใหญ่ และ กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และ/หรือ ภาษีเงินได้ แล้ว ควรใช้ค่าเดียวกันในทุกๆงบ (งบเฉพาะกิจการ งบส่วนได้เสีย และ งบการเงินรวม),,,P,Y
F6,599999,${599999} == ${110100},,W,All Form,เงินสดและรายการเทียบเท่าเงินสด สิ้นงวด ในงบกระแสเงินสด ควรมีค่า เท่ากับ เงินสดและรายการเทียบเท่าเงินสด ในงบแสดงฐานะการเงิน,${599999} ควรมีค่า เท่ากับ ${110100},${599999} should be equal to ${110100}.,P,